run_id,model_family,seed,data_seed,num_heads,expand_k,expand_v,head_k_dim,head_v_dim,dynamic_state_capacity,dtype_policy,GDN_KERNEL_DTYPE,gpu,gpu_name,train_batch_size,eval_batch_size,validation_eval_batch_size,gradient_accumulation_steps,effective_train_batch_size,batch_accum_profile,configured_max_epochs,final_epoch,checkpoint_path,checkpoint_hash,started_at_utc,ended_at_utc,wall_clock_sec,status,fla_version,torch_version,triton_version,valid_loss,valid_accuracy,valid_mqar_case_accuracy_1024x256,source_artifact,run_type,zoology_branch,zoology_commit,note
gdn-s124-2080ti-current040-formal,GatedDeltaNetExpandedK,124,123,2,4,4,256,256,131072,float32_ieee_tf32_off,float32,1,NVIDIA GeForce RTX 2080 Ti,64,16,16,4,256,b64_ga4,1,1,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/formal-quality/gdn-current040/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-2080ti-current040/gdn-s124-2080ti-current040-formal/last.pt,63595588c05c9e1cd5e417e928508650fda0af29c8a888bfd0bfeb4a24abae53,2026-07-24T15:00:56.482241+00:00,2026-07-24T15:06:45.742810+00:00,349.26057717809454,completed,0.4.0,2.6.0+cu118,3.2.0,0.31105666869321824,0.98935888671875,0.91626171875,docs/artifacts/20260724-02-gdn-ek4-fla-compatibility/quality-1ep.csv,fla_dependency_regression_1ep,20260724-gdn-ek4-fla-compatibility,57bae2697f386139501aa0c424244f4c142a81b5,legacy reference
gdn-s124-2080ti-v042-formal,GatedDeltaNetExpandedK,124,123,2,4,4,256,256,131072,float32_ieee_tf32_off,float32,1,NVIDIA GeForce RTX 2080 Ti,64,16,16,4,256,b64_ga4,1,1,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/formal-quality/gdn-v042/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-2080ti-v042/gdn-s124-2080ti-v042-formal/last.pt,847466d241a62f506db6cc0a0db4c9c82cba8c5e3c61c87d4e66311fd32f81f1,2026-07-24T15:06:53.386901+00:00,2026-07-24T15:12:26.422025+00:00,333.0351315389853,completed,0.4.2,2.6.0+cu118,3.2.0,0.3110565935591391,0.98935888671875,0.91626171875,docs/artifacts/20260724-02-gdn-ek4-fla-compatibility/quality-1ep.csv,fla_dependency_regression_1ep,20260724-gdn-ek4-fla-compatibility,57bae2697f386139501aa0c424244f4c142a81b5,selected common environment
gdn-s124-2080ti-v050-formal,GatedDeltaNetExpandedK,124,123,2,4,4,256,256,131072,float32_ieee_tf32_off,float32,1,NVIDIA GeForce RTX 2080 Ti,64,16,16,4,256,b64_ga4,1,1,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/2080ti/formal-quality/gdn-v050/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-2080ti-v050/gdn-s124-2080ti-v050-formal/last.pt,e2dc09e08bdfe37b6a73fccf678c99b30f3c6876077330f487002c99cd25bcf0,2026-07-24T15:12:34.206612+00:00,2026-07-24T15:18:57.293660+00:00,383.0870555220172,completed,0.5.0,2.7.1+cu118,3.3.1,0.31105662537054973,0.98935888671875,0.91626171875,docs/artifacts/20260724-02-gdn-ek4-fla-compatibility/quality-1ep.csv,fla_dependency_regression_1ep,20260724-gdn-ek4-fla-compatibility,57bae2697f386139501aa0c424244f4c142a81b5,rejected candidate environment
gdn-s124-3090-v042-formal,GatedDeltaNetExpandedK,124,123,2,4,4,256,256,131072,float32_ieee_tf32_off,float32,0,NVIDIA GeForce RTX 3090,64,16,16,4,256,b64_ga4,1,1,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/formal-quality/gdn-v042/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-3090-v042/gdn-s124-3090-v042-formal/last.pt,94f2f818e45eadb8ee07081a41d53a063478c76e958cc62cf082f86e25a6ebcc,2026-07-24T14:56:01.887905+00:00,2026-07-24T15:03:42.539402+00:00,460.65150261484087,completed,0.4.2,2.6.0+cu118,3.2.0,0.308369076035137,0.989453125,0.91709375,docs/artifacts/20260724-02-gdn-ek4-fla-compatibility/quality-1ep.csv,fla_dependency_regression_1ep,20260724-gdn-ek4-fla-compatibility,57bae2697f386139501aa0c424244f4c142a81b5,selected common environment
gdn-s124-3090-v050-formal,GatedDeltaNetExpandedK,124,123,2,4,4,256,256,131072,float32_ieee_tf32_off,float32,0,NVIDIA GeForce RTX 3090,64,16,16,4,256,b64_ga4,1,1,/home/lyj/mnt/project/zoology/zoology/experiments/flash_vqg/scripts/20260724-02-gdn-ek4-fla-compatibility/outputs/3090/formal-quality/gdn-v050/checkpoint-root/20260724-02-gdn-ek4-fla-compatibility-3090-v050/gdn-s124-3090-v050-formal/last.pt,ff9554aedcd45a25debb2f9a552f8ad103d5fe8d01d2ce4001ab0748da26f3f4,2026-07-24T15:03:49.038318+00:00,2026-07-24T15:12:19.096750+00:00,510.05844242777675,completed,0.5.0,2.7.1+cu118,3.3.1,0.30842546213580857,0.9894423828125,0.9170078125,docs/artifacts/20260724-02-gdn-ek4-fla-compatibility/quality-1ep.csv,fla_dependency_regression_1ep,20260724-gdn-ek4-fla-compatibility,57bae2697f386139501aa0c424244f4c142a81b5,rejected candidate environment
gdnxk-h2-ek16-ev1-kblocked-ieee-20260528T020346Z,GatedDeltaNetExpandedK-KBlocked,123,123,2,16,1,1024,64,131072,float32,float32,0,NVIDIA GeForce RTX 3090,64,16,16,4,256,b64_ga4,4,4,/home/lyj/mnt/project/worktrees/fla-kblocked/zoology/checkpoints/flash-vqg-20260528-kblocked-probe-ek16-ev1-retry-ieee-20260528T020346Z-2026-05-28-02-06-08/gdnxk-h2-ek16-ev1-s123-d123-b64-ga4-fp32-noearly4ep-retry-ieee-20260528T020346Z/last.pt,ad9afdaf8f77550160522eb1a692e3e7912e4829d5ef5566aae79212f4d17154,2026-05-28T02:03:46Z,2026-05-28T02:22:30Z,,completed_research_evidence_upstream_correctness_no_go,,,,,,,,,,,
gdnxk-h2-ek8-ev2-kblocked-ieee-20260528T070753Z,GatedDeltaNetExpandedK-KBlocked,123,123,2,8,2,512,128,131072,float32,float32,0,NVIDIA GeForce RTX 3090,64,16,16,4,256,b64_ga4,4,4,/home/lyj/mnt/project/worktrees/fla-kblocked/zoology/checkpoints/flash-vqg-20260528-kblocked-probe-ek8-ev2-20260528T070753Z-2026-05-28-07-07-55/gdnxk-h2-ek8-ev2-s123-d123-b64-ga4-fp32-noearly4ep-kblocked-ieee-20260528T070753Z/last.pt,,2026-05-28T07:07:53Z,2026-05-28T07:26:27Z,,completed_research_evidence_upstream_correctness_no_go,,,,,,,,,,,
gdn-s123-fixedinit-s124-d123-b64ga4-formal,GatedDeltaNetExpandedK,123,123,2,4,4,256,256,131072,float32_ieee_tf32_off,float32,1,NVIDIA GeForce RTX 2080 Ti,64,16,16,4,256,b64_ga4,4,4,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-2080ti/20260725-01-current-baselines-longer-mqar-2080ti-formal/gdn-s123-fixedinit-s124-d123-b64ga4-formal/last.pt,86e6ca05a1d11615d928643d8947b60b704f50ad5dc67d2462ee07ed55c8145f,2026-07-24T19:56:27.230140+00:00,2026-07-24T20:15:19.554784+00:00,1132.324654466007,completed,0.4.2,2.6.0+cu118,3.2.0,0.16895278509360245,0.99578955078125,0.96737109375,docs/artifacts/20260725-01-current-baselines-longer-mqar/training-final.csv,current_baseline_length_generalization_4ep,20260725-01-current-baselines-longer-mqar,0dd957274ca9609d0c151aef0e9b620fcd574e79,Current GDN ek4-ev4 baseline 4ep retraining from fixed canonical seed124 init; Longer-MQAR source run.
gdn-s124-fixedinit-s124-d123-b64ga4-formal,GatedDeltaNetExpandedK,124,123,2,4,4,256,256,131072,float32_ieee_tf32_off,float32,1,NVIDIA GeForce RTX 2080 Ti,64,16,16,4,256,b64_ga4,4,4,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-2080ti/20260725-01-current-baselines-longer-mqar-2080ti-formal/gdn-s124-fixedinit-s124-d123-b64ga4-formal/last.pt,b5732f7001f6c35089254ab51fa2d0ee5a1c280b7a416ea24843e2f427399dbe,2026-07-24T20:41:52.612905+00:00,2026-07-24T21:00:39.523012+00:00,1126.9101186229382,completed,0.4.2,2.6.0+cu118,3.2.0,0.17123541775857568,0.99566748046875,0.96635546875,docs/artifacts/20260725-01-current-baselines-longer-mqar/training-final.csv,current_baseline_length_generalization_4ep,20260725-01-current-baselines-longer-mqar,0dd957274ca9609d0c151aef0e9b620fcd574e79,Current GDN ek4-ev4 baseline 4ep retraining from fixed canonical seed124 init; Longer-MQAR source run.
gdn-s125-fixedinit-s124-d123-b64ga4-formal,GatedDeltaNetExpandedK,125,123,2,4,4,256,256,131072,float32_ieee_tf32_off,float32,1,NVIDIA GeForce RTX 2080 Ti,64,16,16,4,256,b64_ga4,4,4,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-2080ti/20260725-01-current-baselines-longer-mqar-2080ti-formal/gdn-s125-fixedinit-s124-d123-b64ga4-formal/last.pt,c5548f8d6b65a1eaf619f546e41054db714b23c0c6e75476c75602a3d568e873,2026-07-24T21:27:12.022368+00:00,2026-07-24T21:45:56.334679+00:00,1124.3123196281958,completed,0.4.2,2.6.0+cu118,3.2.0,0.16717036652872116,0.996248046875,0.9710625,docs/artifacts/20260725-01-current-baselines-longer-mqar/training-final.csv,current_baseline_length_generalization_4ep,20260725-01-current-baselines-longer-mqar,0dd957274ca9609d0c151aef0e9b620fcd574e79,Current GDN ek4-ev4 baseline 4ep retraining from fixed canonical seed124 init; Longer-MQAR source run.
gdn-s123-fixedinit-s124-d123-b64ga4-3090-formal,GatedDeltaNetExpandedK,123,123,2,4,4,256,256,131072,float32_ieee_tf32_off,float32,0,NVIDIA GeForce RTX 3090,64,16,16,4,256,b64_ga4,4,4,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-3090/20260725-01-current-baselines-longer-mqar-3090-formal/gdn-s123-fixedinit-s124-d123-b64ga4-3090-formal/last.pt,f109a8a289256bc755d1c98d3418bab68c17602c2c5ac2f51bc7430233eafe9a,2026-07-25T04:19:25.285399+00:00,2026-07-25T04:49:08.601626+00:00,1783.316235226579,completed,0.4.2,2.6.0+cu118,3.2.0,0.16772340829467997,0.99609326171875,0.96974609375,docs/artifacts/20260725-01-current-baselines-longer-mqar/machines/3090/training-final.csv,current_baseline_length_generalization_4ep_crossgpu,20260725-01-current-baselines-longer-mqar,ed95ec210d244349a5ab5b587e19a4cbb095ac19,Current GDN ek4-ev4 baseline 4ep retraining on 3090 from fixed canonical seed124 init; Longer-MQAR source run.
gdn-s124-fixedinit-s124-d123-b64ga4-3090-formal,GatedDeltaNetExpandedK,124,123,2,4,4,256,256,131072,float32_ieee_tf32_off,float32,0,NVIDIA GeForce RTX 3090,64,16,16,4,256,b64_ga4,4,4,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-3090/20260725-01-current-baselines-longer-mqar-3090-formal/gdn-s124-fixedinit-s124-d123-b64ga4-3090-formal/last.pt,50def779e6613e5707955b7d2d368cf9c436b8e0b00da812f2c107dd3561d4cd,2026-07-25T05:12:31.981870+00:00,2026-07-25T05:40:48.408742+00:00,1696.4268786665052,completed,0.4.2,2.6.0+cu118,3.2.0,0.17086618318878916,0.9956201171875,0.9659609375,docs/artifacts/20260725-01-current-baselines-longer-mqar/machines/3090/training-final.csv,current_baseline_length_generalization_4ep_crossgpu,20260725-01-current-baselines-longer-mqar,ed95ec210d244349a5ab5b587e19a4cbb095ac19,Current GDN ek4-ev4 baseline 4ep retraining on 3090 from fixed canonical seed124 init; Longer-MQAR source run.
gdn-s125-fixedinit-s124-d123-b64ga4-3090-formal,GatedDeltaNetExpandedK,125,123,2,4,4,256,256,131072,float32_ieee_tf32_off,float32,0,NVIDIA GeForce RTX 3090,64,16,16,4,256,b64_ga4,4,4,/home/lyj/mnt/project/zoology/checkpoints/fvqg-20260725-01-current-baselines-longer-mqar-3090/20260725-01-current-baselines-longer-mqar-3090-formal/gdn-s125-fixedinit-s124-d123-b64ga4-3090-formal/last.pt,9afed4379ffbe9dc83c865704dade845af47ab4f59d17dcf427f0bee82cab815,2026-07-25T06:04:25.187236+00:00,2026-07-25T06:33:17.104174+00:00,1731.916944933124,completed,0.4.2,2.6.0+cu118,3.2.0,0.16802417460574015,0.99597021484375,0.96883984375,docs/artifacts/20260725-01-current-baselines-longer-mqar/machines/3090/training-final.csv,current_baseline_length_generalization_4ep_crossgpu,20260725-01-current-baselines-longer-mqar,ed95ec210d244349a5ab5b587e19a4cbb095ac19,Current GDN ek4-ev4 baseline 4ep retraining on 3090 from fixed canonical seed124 init; Longer-MQAR source run.
